Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689
Andorra,AND,"Population, total",SP.POP.TOTL,9443,10216,11014,11839,12690,13563,14546,15745,17079,18449,19860,21322,22832,24393,26003,27640,29294,30949,32574,34142,35611,36987,38598,40432,42181,43809,45605,47635,49654,51639,53569,55434,57283,59156,61037,62928,64147,64682,65186,65655,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824
Arab World,ARB,"Population, total",SP.POP.TOTL,93359407,95760348,98268683,100892507,103618568,106444103,109394536,112499764,115729597,119061868,122475578,125979765,129605560,133384981,137372356,141756318,146815543,151960544,156741680,162014425,167707208,173118753,178587926,184342569,190162096,195956917,201916517,207894127,213455083,219021375,225923327,230837072,236598334,242994250,249596194,255803349,261953764,268158920,274376380,280650496,287065982,293512340,300018650,306573087,313249616,320558754,328703057,337498222,346630443,355754908,364427661,372351065,380383408,389131555,397922915,406501999,415077960,423664839,432545676,441467739,449228296,456520777,464684914
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,133426,140984,148877,157006,165305,173797,182509,191404,213582,253261,298084,344513,392368,441546,491955,543394,614177,706861,805231,908452,1014048,1100180,1167856,1237572,1308331,1379536,1468697,1575909,1683681,1791840,1900151,2008383,2116231,2223284,2329024,2433988,2572735,2746119,2921130,3097563,3275333,3454198,3633655,3813443,3993339,4280993,4898954,5872624,6988685,7992644,8481771,8575205,8664969,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129
Argentina,ARG,"Population, total",SP.POP.TOTL,20349744,20680653,21020359,21364017,21708487,22053661,22403116,22757014,23112971,23472028,23842803,24223379,24612794,25020588,25449754,25875558,26290257,26713780,27146121,27584134,28024803,28471285,28922762,29377137,29832197,30287112,30748326,31216453,31690792,32165766,32637657,33105763,33568285,34027240,34488696,34946110,35389362,35815971,36233195,36653031,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
Armenia,ARM,"Population, total",SP.POP.TOTL,1904148,1971530,2039346,2106142,2171029,2234051,2295496,2355997,2416461,2476359,2534377,2590923,2648048,2706852,2767646,2830798,2896311,2965523,3038224,3097058,3135123,3167876,3202011,3238291,3272102,3300896,3327182,3351364,3366838,3448186,3556539,3617631,3574555,3457349,3373713,3322782,3298898,3271418,3240550,3206030,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469
American Samoa,ASM,"Population, total",SP.POP.TOTL,20085,20626,21272,21949,22656,23391,24122,24848,25608,26396,27075,27593,28063,28529,29012,29573,30198,30816,31428,32045,32886,34059,35367,36735,38168,39663,41221,42842,44532,46288,47818,48992,50078,51174,52288,53401,54500,55578,56603,57594,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55342,56245,57008,57778,58664,59644,60615,61617,62658,63742,64517,64769,64695,64463,64218,64035,63990,64117,64329,64609,64889,65076,65231,65408,65362,65048,64712,64353,63982,63636,63328,63634,64659,65834,67072,68398,69798,71218,72572,73821,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3894500,4045750,4168150,4293550,4439250,4574650,4708150,4832000,4948500,5063300,5172050,5282950,5391450,5493900,5594100,5689050,5781000,5876150,5976150,6071300,6160500,6257750,6357550,6459800,6567850,6670150,6770300,6875350,6974600,7076550,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756
Burundi,BDI,"Population, total",SP.POP.TOTL,2746628,2815972,2887398,2948133,3033221,3118134,3193378,3274493,3352397,3424429,3497834,3582070,3579195,3571450,3660032,3749232,3830889,3927428,4039410,4137437,4312834,4490743,4602271,4726506,4842268,4948024,5041706,5157769,5271840,5373697,5483793,5594828,5743085,5555220,5586408,5932783,5930507,5923862,6035340,6180180,6307659,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576
Belgium,BEL,"Population, total",SP.POP.TOTL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814
Benin,BEN,"Population, total",SP.POP.TOTL,2512284,2551216,2593302,2638082,2685619,2735843,2788642,2843739,2901218,2961166,3023443,3088381,3156408,3227380,3301276,3378703,3460329,3546454,3636927,3732394,3833939,3941569,4054385,4171526,4293070,4419552,4551382,4688787,4831624,4979680,5133419,5293046,5457778,5706181,5923394,6046511,6203860,6387026,6584183,6788589,6998023,7212041,7431783,7659208,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,4783259,4852833,4924497,4998671,5076111,5157929,5242797,5330613,5422119,5515747,5611666,5707793,5805283,5907742,6018141,6138444,6269765,6416569,6577779,6749939,6932967,7123730,7321817,7531184,7751476,7979185,8207827,8434996,8663720,8895234,9131361,9365064,9598555,9840075,10091256,10353263,10621210,10897353,11201063,11533554,11882888,12249764,12632269,13030591,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762
Bangladesh,BGD,"Population, total",SP.POP.TOTL,50396429,51882769,53461661,55094115,56774465,58500159,60265259,62104488,63995652,65866908,67541860,68376204,69346705,71144818,72947807,74700345,76380080,78137788,80007550,81908151,83929765,86154836,88555336,91045478,93534239,95959099,98271746,100490256,102688833,104893674,107147651,109242834,111272102,113418757,115614891,117793338,119876868,122039226,124350471,126754824,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7867374,7943118,8012946,8078145,8144340,8204168,8258057,8310226,8369603,8434172,8489574,8536395,8576200,8620967,8678745,8720742,8758599,8804183,8814032,8825940,8861535,8891117,8917457,8939738,8960679,8960547,8958171,8971359,8981446,8876972,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097
Bahrain,BHR,"Population, total",SP.POP.TOTL,160691,166970,173359,179891,186587,193012,199019,204916,210801,216696,222555,230992,243143,256632,270627,285116,300044,315337,330912,346697,362595,377430,391017,404772,419217,434375,450196,466565,483337,500349,517418,535415,554470,573755,593254,612934,632756,652643,672484,692133,711442,730257,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,114500,120216,126305,132639,138785,144849,151323,158197,165456,172745,179129,184435,189181,193563,197767,201881,206096,210534,215016,219426,223752,227956,232177,236586,241166,245935,250804,255618,260452,265493,270679,276058,281973,288164,293997,299554,304933,310171,315398,320272,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3262539,3325333,3387512,3448532,3507959,3565517,3620849,3673367,3723067,3770376,3815561,3859242,3901895,3943152,3983063,4022090,4060039,4096516,4131521,4165511,4199820,4235970,4274013,4312521,4349597,4383306,4413374,4440300,4463320,4481230,4494310,4502386,4275730,3942981,3762330,3750527,3907751,4047748,4115059,4153014,4179350,4194932,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526
Belarus,BLR,"Population, total",SP.POP.TOTL,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071
Belize,BLZ,"Population, total",SP.POP.TOTL,91403,93757,96188,98862,101772,104838,108062,111411,114825,118145,120905,123091,125054,126875,128620,130801,133471,136183,138933,141823,145133,148764,152409,156053,159721,163436,167191,170980,174817,178695,182589,186462,190299,194177,198416,203556,209840,217117,224907,232733,240406,248100,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272
Bermuda,BMU,"Population, total",SP.POP.TOTL,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63764,63532
Bolivia,BOL,"Population, total",SP.POP.TOTL,3707515,3784744,3864140,3945729,4029472,4115511,4204065,4295269,4389249,4486098,4585693,4688267,4793804,4902248,5013765,5127776,5244355,5363917,5486132,5610380,5736088,5862990,5991118,6120620,6251926,6385630,6521983,6661434,6804072,6949139,7096194,7244891,7394419,7544489,7693722,7841471,7989367,8137619,8286928,8439052,8592656,8746084,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110
Brazil,BRA,"Population, total",SP.POP.TOTL,73092515,75330008,77599218,79915555,82262794,84623747,86979283,89323288,91659246,94000381,96369875,98766288,101194394,103666904,106167372,108700515,111286504,113939886,116664382,119447303,122288383,125168060,128065095,130977370,133888775,136783180,139643355,142466264,145253973,148003411,150706446,153336445,155900790,158440875,160980472,163515328,166037122,168546707,171039804,173486281,175873720,178211881,180476685,182629278,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
Barbados,BRB,"Population, total",SP.POP.TOTL,232550,233698,234829,235875,236834,237694,238494,239238,239905,240594,241397,242350,243458,244643,245851,247090,248359,249663,251009,252334,253575,254684,255642,256505,257279,257911,258370,258654,258762,258759,258868,259402,260212,260995,261712,262303,262793,263224,263642,264170,264657,265377,266455,267499,268505,269477,270425,271444,272635,273791,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,85346,89561,93837,98277,102904,107686,112597,117628,122764,128012,133343,138666,143886,149065,154314,159653,165064,170560,176176,181951,187921,194099,200630,207523,214682,222119,229815,237712,245729,253821,261928,269860,277416,284713,291935,299097,306196,313215,320152,327045,333926,340748,347463,354045,360461,366717,372808,378748,384568,390311,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002
Bhutan,BTN,"Population, total",SP.POP.TOTL,221266,227071,233417,240268,247444,255010,262976,271339,280102,289296,298894,308837,319128,329800,340842,352269,364119,376387,389072,402063,415257,428641,442201,456033,470165,484528,499151,514026,529051,544209,558442,567710,545944,520838,521260,527536,537494,546865,557143,570990,587207,603234,619048,634627,649991,663323,673260,681614,689737,697678,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455
